State Name,county Name,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,San Diego,1/1/2015,156,Unhealthy,PM2.5,06-073-1002,11
California,San Diego,1/2/2015,83,Moderate,PM2.5,06-073-1002,11
California,San Diego,1/3/2015,89,Moderate,PM2.5,06-073-1002,11
California,San Diego,1/4/2015,102,Unhealthy for Sensitive Groups,PM2.5,06-073-1002,11
California,San Diego,1/5/2015,65,Moderate,PM2.5,06-073-1002,11
California,San Diego,1/6/2015,52,Moderate,PM2.5,06-073-1018,12
California,San Diego,1/7/2015,60,Moderate,NO2,06-073-1010,11
California,San Diego,1/8/2015,60,Moderate,PM2.5,06-073-1010,11
California,San Diego,1/9/2015,68,Moderate,PM2.5,06-073-1010,11
California,San Diego,1/10/2015,69,Moderate,PM2.5,06-073-1008,11
California,San Diego,1/11/2015,53,Moderate,PM2.5,06-073-1002,11
California,San Diego,1/12/2015,57,Moderate,PM2.5,06-073-1002,13
California,San Diego,1/13/2015,59,Moderate,PM2.5,06-073-1010,11
California,San Diego,1/14/2015,52,Moderate,PM2.5,06-073-1008,10
California,San Diego,1/15/2015,52,Moderate,PM2.5,06-073-1010,11
California,San Diego,1/16/2015,53,Moderate,PM2.5,06-073-1002,11
California,San Diego,1/17/2015,62,Moderate,PM2.5,06-073-1010,11
California,San Diego,1/18/2015,71,Moderate,PM2.5,06-073-1002,12
California,San Diego,1/19/2015,65,Moderate,PM2.5,06-073-1010,11
California,San Diego,1/20/2015,83,Moderate,PM2.5,06-073-1010,11
California,San Diego,1/21/2015,95,Moderate,PM2.5,06-073-1008,11
California,San Diego,1/22/2015,58,Moderate,PM2.5,06-073-1010,11
California,San Diego,1/23/2015,50,Good,PM2.5,06-073-1008,11
California,San Diego,1/24/2015,84,Moderate,PM2.5,06-073-1011,12
California,San Diego,1/25/2015,55,Moderate,PM2.5,06-073-1010,11
California,San Diego,1/26/2015,49,Good,PM2.5,06-073-1008,11
California,San Diego,1/27/2015,49,Good,PM2.5,06-073-1014,11
California,San Diego,1/28/2015,64,Moderate,PM2.5,06-073-1019,11
California,San Diego,1/29/2015,65,Moderate,PM2.5,06-073-1019,11
California,San Diego,1/30/2015,62,Moderate,PM2.5,06-073-1014,13
California,San Diego,1/31/2015,67,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/1/2015,67,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/2/2015,57,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/3/2015,81,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/4/2015,110,Unhealthy for Sensitive Groups,PM2.5,06-073-1019,12
California,San Diego,2/5/2015,129,Unhealthy for Sensitive Groups,PM2.5,06-073-1019,13
California,San Diego,2/6/2015,131,Unhealthy for Sensitive Groups,PM2.5,06-073-1019,12
California,San Diego,2/7/2015,83,Moderate,PM2.5,06-073-1019,11
California,San Diego,2/8/2015,74,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/9/2015,67,Moderate,PM2.5,06-073-1014,12
California,San Diego,2/10/2015,71,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/11/2015,56,Moderate,PM2.5,06-073-1010,12
California,San Diego,2/12/2015,85,Moderate,PM2.5,06-073-1011,12
California,San Diego,2/13/2015,60,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/14/2015,58,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/15/2015,74,Moderate,Ozone,06-073-1016,12
California,San Diego,2/16/2015,85,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/17/2015,82,Moderate,PM2.5,06-073-1019,13
California,San Diego,2/18/2015,82,Moderate,PM2.5,06-073-1014,12
California,San Diego,2/19/2015,102,Unhealthy for Sensitive Groups,PM2.5,06-073-1019,12
California,San Diego,2/20/2015,95,Moderate,PM2.5,06-073-1014,12
California,San Diego,2/21/2015,61,Moderate,PM2.5,06-073-1006,12
California,San Diego,2/22/2015,42,Good,Ozone,06-073-1019,12
California,San Diego,2/23/2015,53,Moderate,PM2.5,06-073-1008,13
California,San Diego,2/24/2015,57,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/25/2015,62,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/26/2015,70,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/27/2015,63,Moderate,PM2.5,06-073-1019,12
California,San Diego,2/28/2015,41,Good,Ozone,06-073-1014,12
California,San Diego,3/1/2015,41,Good,Ozone,06-073-1014,13
California,San Diego,3/2/2015,39,Good,Ozone,06-073-1014,12
California,San Diego,3/3/2015,42,Good,Ozone,06-073-1019,12
California,San Diego,3/4/2015,61,Moderate,PM2.5,06-073-1019,12
California,San Diego,3/5/2015,81,Moderate,PM2.5,06-073-1011,11
California,San Diego,3/6/2015,80,Moderate,PM2.5,06-073-1011,12
California,San Diego,3/7/2015,65,Moderate,PM10,06-073-2000,13
California,San Diego,3/8/2015,71,Moderate,Ozone,06-073-1006,12
California,San Diego,3/9/2015,68,Moderate,PM2.5,06-073-1019,12
California,San Diego,3/10/2015,96,Moderate,PM2.5,06-073-1019,12
California,San Diego,3/11/2015,89,Moderate,PM2.5,06-073-1019,12
California,San Diego,3/12/2015,86,Moderate,PM2.5,06-073-1019,12
California,San Diego,3/13/2015,74,Moderate,PM2.5,06-073-1011,14
California,San Diego,3/14/2015,67,Moderate,Ozone,06-073-1006,12
California,San Diego,3/15/2015,90,Moderate,Ozone,06-073-1008,12
California,San Diego,3/16/2015,77,Moderate,Ozone,06-073-1006,12
California,San Diego,3/17/2015,84,Moderate,Ozone,06-073-1006,12
California,San Diego,3/18/2015,66,Moderate,PM2.5,06-073-1014,12
California,San Diego,3/19/2015,60,Moderate,PM2.5,06-073-1014,14
California,San Diego,3/20/2015,80,Moderate,Ozone,06-073-1006,12
California,San Diego,3/21/2015,105,Unhealthy for Sensitive Groups,Ozone,06-073-1006,12
